Algorithm,Problem,Operator,Execucion,Generation,HV_gen
age_moea,dtlz7,baseline,0,249,0.9842752846498408
age_moea,dtlz7,baseline,1,249,0.9875618539771616
age_moea,dtlz7,baseline,2,249,0.9920151361527355
age_moea,dtlz7,baseline,3,249,0.9913749534198604
age_moea,dtlz7,baseline,4,249,0.9951075355880212
age_moea,dtlz7,baseline,5,249,0.9972989349261627
age_moea,dtlz7,baseline,6,249,0.9753721353861323
age_moea,dtlz7,baseline,7,249,0.9999816167451705
age_moea,dtlz7,baseline,8,249,0.983418866954729
age_moea,dtlz7,baseline,9,249,0.9944591986713565
age_moea,dtlz7,baseline,10,249,0.9915623113512131
age_moea,dtlz7,baseline,11,249,0.9905759475788213
age_moea,dtlz7,baseline,12,249,1.004937346762787
age_moea,dtlz7,baseline,13,249,1.0035041506002615
age_moea,dtlz7,baseline,14,249,0.9958414648372858
age_moea,dtlz7,baseline,15,249,0.9932092942975874
age_moea,dtlz7,baseline,16,249,0.9943240929170541
age_moea,dtlz7,baseline,17,249,0.9945627254553389
age_moea,dtlz7,baseline,18,249,0.9957327452643732
age_moea,dtlz7,baseline,19,249,0.9941464082767971
age_moea,dtlz7,sam_energy,0,249,1.0054467263297115
age_moea,dtlz7,sam_energy,1,249,0.9897972231245905
age_moea,dtlz7,sam_energy,2,249,0.9943115072057828
age_moea,dtlz7,sam_energy,3,249,0.9914744540441073
age_moea,dtlz7,sam_energy,4,249,1.0052942172126214
age_moea,dtlz7,sam_energy,5,249,0.9958755890639072
age_moea,dtlz7,sam_energy,6,249,0.980604559549603
age_moea,dtlz7,sam_energy,7,249,0.9965449626318174
age_moea,dtlz7,sam_energy,8,249,0.9882903054340134
age_moea,dtlz7,sam_energy,9,249,0.9920588142392465
age_moea,dtlz7,sam_energy,10,249,0.9854348601654471
age_moea,dtlz7,sam_energy,11,249,1.0023679822942788
age_moea,dtlz7,sam_energy,12,249,0.9782807090588386
age_moea,dtlz7,sam_energy,13,249,0.9965291552640285
age_moea,dtlz7,sam_energy,14,249,0.9948590778510953
age_moea,dtlz7,sam_energy,15,249,0.9873935648613084
age_moea,dtlz7,sam_energy,16,249,0.9994839509442935
age_moea,dtlz7,sam_energy,17,249,0.9848183492495014
age_moea,dtlz7,sam_energy,18,249,1.0019986896849138
age_moea,dtlz7,sam_energy,19,249,1.0003053361843086
age_moea,dtlz7,sam_uniform,0,249,0.9836191417768421
age_moea,dtlz7,sam_uniform,1,249,0.9942979021213366
age_moea,dtlz7,sam_uniform,2,249,1.0035988414476202
age_moea,dtlz7,sam_uniform,3,249,0.9965806980207592
age_moea,dtlz7,sam_uniform,4,249,0.9922740114978867
age_moea,dtlz7,sam_uniform,5,249,0.9962403006761006
age_moea,dtlz7,sam_uniform,6,249,0.9812620097916006
age_moea,dtlz7,sam_uniform,7,249,0.9965683736141385
age_moea,dtlz7,sam_uniform,8,249,0.9960881204269446
age_moea,dtlz7,sam_uniform,9,249,0.9865411025741787
age_moea,dtlz7,sam_uniform,10,249,1.0011490887380798
age_moea,dtlz7,sam_uniform,11,249,0.9951461094649877
age_moea,dtlz7,sam_uniform,12,249,1.0012990921220262
age_moea,dtlz7,sam_uniform,13,249,0.9881330535209868
age_moea,dtlz7,sam_uniform,14,249,0.9784122816305326
age_moea,dtlz7,sam_uniform,15,249,0.9991452250334507
age_moea,dtlz7,sam_uniform,16,249,0.993831507232069
age_moea,dtlz7,sam_uniform,17,249,0.983590435339084
age_moea,dtlz7,sam_uniform,18,249,0.9852206089635682
age_moea,dtlz7,sam_uniform,19,249,0.9930621685878845
age_moea,dtlz7,mut_dirichlet,0,249,0.9987007003418403
age_moea,dtlz7,mut_dirichlet,1,249,0.9837389336934008
age_moea,dtlz7,mut_dirichlet,2,249,0.9903232571765144
age_moea,dtlz7,mut_dirichlet,3,249,0.9993230290732092
age_moea,dtlz7,mut_dirichlet,4,249,1.0033738170935897
age_moea,dtlz7,mut_dirichlet,5,249,0.9986737253651695
age_moea,dtlz7,mut_dirichlet,6,249,0.9966755420858273
age_moea,dtlz7,mut_dirichlet,7,249,1.0036426211182095
age_moea,dtlz7,mut_dirichlet,8,249,0.9841479790741376
age_moea,dtlz7,mut_dirichlet,9,249,1.0025879905378776
age_moea,dtlz7,mut_dirichlet,10,249,1.0002057629756294
age_moea,dtlz7,mut_dirichlet,11,249,1.0062922976873458
age_moea,dtlz7,mut_dirichlet,12,249,1.0023331992955788
age_moea,dtlz7,mut_dirichlet,13,249,0.9984530224997542
age_moea,dtlz7,mut_dirichlet,14,249,1.005879857358827
age_moea,dtlz7,mut_dirichlet,15,249,0.9897157462877261
age_moea,dtlz7,mut_dirichlet,16,249,1.0070193742107576
age_moea,dtlz7,mut_dirichlet,17,249,1.0035777645346655
age_moea,dtlz7,mut_dirichlet,18,249,0.9793707491192502
age_moea,dtlz7,mut_dirichlet,19,249,1.0053747672900144
