Algorithm,Problem,Operator,Execucion,Generation,HV_gen
age_moea,wfg3,baseline,0,249,0.5340699046201272
age_moea,wfg3,baseline,1,249,0.533845304756124
age_moea,wfg3,baseline,2,249,0.5303739166902889
age_moea,wfg3,baseline,3,249,0.5365359014795287
age_moea,wfg3,baseline,4,249,0.5351274357116306
age_moea,wfg3,baseline,5,249,0.5174823707291986
age_moea,wfg3,baseline,6,249,0.5278529096311713
age_moea,wfg3,baseline,7,249,0.532921265913169
age_moea,wfg3,baseline,8,249,0.5233304843698863
age_moea,wfg3,baseline,9,249,0.5390750320261062
age_moea,wfg3,baseline,10,249,0.5343777849386826
age_moea,wfg3,baseline,11,249,0.5316289450971664
age_moea,wfg3,baseline,12,249,0.5215775792560091
age_moea,wfg3,baseline,13,249,0.5041611508646374
age_moea,wfg3,baseline,14,249,0.5296298354404584
age_moea,wfg3,baseline,15,249,0.5301788855666183
age_moea,wfg3,baseline,16,249,0.5302231561575831
age_moea,wfg3,baseline,17,249,0.5247277879776203
age_moea,wfg3,baseline,18,249,0.5283727095357069
age_moea,wfg3,baseline,19,249,0.5376989829554983
age_moea,wfg3,sam_energy,0,249,0.5301244682381291
age_moea,wfg3,sam_energy,1,249,0.5375135804535169
age_moea,wfg3,sam_energy,2,249,0.5367477092296813
age_moea,wfg3,sam_energy,3,249,0.537997419986831
age_moea,wfg3,sam_energy,4,249,0.5387221192513156
age_moea,wfg3,sam_energy,5,249,0.5230749407898988
age_moea,wfg3,sam_energy,6,249,0.5411148236337581
age_moea,wfg3,sam_energy,7,249,0.521813777905497
age_moea,wfg3,sam_energy,8,249,0.5286206718184756
age_moea,wfg3,sam_energy,9,249,0.5373676327359325
age_moea,wfg3,sam_energy,10,249,0.5360188529771591
age_moea,wfg3,sam_energy,11,249,0.5103675195063357
age_moea,wfg3,sam_energy,12,249,0.5226339488167785
age_moea,wfg3,sam_energy,13,249,0.5378014270487348
age_moea,wfg3,sam_energy,14,249,0.5343435161002991
age_moea,wfg3,sam_energy,15,249,0.5084549682353359
age_moea,wfg3,sam_energy,16,249,0.5290729946770911
age_moea,wfg3,sam_energy,17,249,0.5368709400930503
age_moea,wfg3,sam_energy,18,249,0.5174802442203632
age_moea,wfg3,sam_energy,19,249,0.5188384241525505
age_moea,wfg3,sam_redd,0,249,0.5333968897015
age_moea,wfg3,sam_redd,1,249,0.5345967039880755
age_moea,wfg3,sam_redd,2,249,0.5306946412056479
age_moea,wfg3,sam_redd,3,249,0.5317061543994557
age_moea,wfg3,sam_redd,4,249,0.5370721501837159
age_moea,wfg3,sam_redd,5,249,0.5248581360026001
age_moea,wfg3,sam_redd,6,249,0.5268696405173622
age_moea,wfg3,sam_redd,7,249,0.5293658490214179
age_moea,wfg3,sam_redd,8,249,0.5357923715857176
age_moea,wfg3,sam_redd,9,249,0.5249162792993017
age_moea,wfg3,sam_redd,10,249,0.5364231783938062
age_moea,wfg3,sam_redd,11,249,0.5323535762494336
age_moea,wfg3,sam_redd,12,249,0.5347125109108519
age_moea,wfg3,sam_redd,13,249,0.5332557013543388
age_moea,wfg3,sam_redd,14,249,0.5356707580483296
age_moea,wfg3,sam_redd,15,249,0.5108021835574832
age_moea,wfg3,sam_redd,16,249,0.5255262246964759
age_moea,wfg3,sam_redd,17,249,0.5362302653992884
age_moea,wfg3,sam_redd,18,249,0.5313705107246641
age_moea,wfg3,sam_redd,19,249,0.5327214010007664
age_moea,wfg3,sam_mssd,0,249,0.5263788488574777
age_moea,wfg3,sam_mssd,1,249,0.5323804093048918
age_moea,wfg3,sam_mssd,2,249,0.5162429101165338
age_moea,wfg3,sam_mssd,3,249,0.5328825185290921
age_moea,wfg3,sam_mssd,4,249,0.5160912423019839
age_moea,wfg3,sam_mssd,5,249,0.5399259019485437
age_moea,wfg3,sam_mssd,6,249,0.5097792440230228
age_moea,wfg3,sam_mssd,7,249,0.5216707358952148
age_moea,wfg3,sam_mssd,8,249,0.5178286869394191
age_moea,wfg3,sam_mssd,9,249,0.5369223960088463
age_moea,wfg3,sam_mssd,10,249,0.529039098457975
age_moea,wfg3,sam_mssd,11,249,0.5326511509263717
age_moea,wfg3,sam_mssd,12,249,0.5170674654203157
age_moea,wfg3,sam_mssd,13,249,0.5238281664244107
age_moea,wfg3,sam_mssd,14,249,0.5354038650536042
age_moea,wfg3,sam_mssd,15,249,0.5331276483923372
age_moea,wfg3,sam_mssd,16,249,0.5147863937154229
age_moea,wfg3,sam_mssd,17,249,0.5201520806779747
age_moea,wfg3,sam_mssd,18,249,0.5296161161463876
age_moea,wfg3,sam_mssd,19,249,0.5274969647430492
age_moea,wfg3,sam_uniform,0,249,0.5342708186551655
age_moea,wfg3,sam_uniform,1,249,0.5307889667934924
age_moea,wfg3,sam_uniform,2,249,0.5401341706642596
age_moea,wfg3,sam_uniform,3,249,0.5315130349616393
age_moea,wfg3,sam_uniform,4,249,0.5410342423791108
age_moea,wfg3,sam_uniform,5,249,0.5326523955539392
age_moea,wfg3,sam_uniform,6,249,0.5373581580508301
age_moea,wfg3,sam_uniform,7,249,0.5324186818842898
age_moea,wfg3,sam_uniform,8,249,0.5325340941337041
age_moea,wfg3,sam_uniform,9,249,0.5358654458473183
age_moea,wfg3,sam_uniform,10,249,0.5402218695000324
age_moea,wfg3,sam_uniform,11,249,0.5448347150905529
age_moea,wfg3,sam_uniform,12,249,0.5328505676099716
age_moea,wfg3,sam_uniform,13,249,0.5204536823727467
age_moea,wfg3,sam_uniform,14,249,0.5342202799749436
age_moea,wfg3,sam_uniform,15,249,0.5312994738337413
age_moea,wfg3,sam_uniform,16,249,0.5418710422162155
age_moea,wfg3,sam_uniform,17,249,0.540268607131382
age_moea,wfg3,sam_uniform,18,249,0.5354252847573693
age_moea,wfg3,sam_uniform,19,249,0.5330248675141518
age_moea,wfg3,mut_dirichlet,0,249,0.5382760196415831
age_moea,wfg3,mut_dirichlet,1,249,0.5418281266927983
age_moea,wfg3,mut_dirichlet,2,249,0.5107378974782225
age_moea,wfg3,mut_dirichlet,3,249,0.5317240313617976
age_moea,wfg3,mut_dirichlet,4,249,0.5371472065030294
age_moea,wfg3,mut_dirichlet,5,249,0.5301347652814036
age_moea,wfg3,mut_dirichlet,6,249,0.5074239821786038
age_moea,wfg3,mut_dirichlet,7,249,0.5223579448259718
age_moea,wfg3,mut_dirichlet,8,249,0.5441876592988472
age_moea,wfg3,mut_dirichlet,9,249,0.5405773389055711
age_moea,wfg3,mut_dirichlet,10,249,0.5442630044003289
age_moea,wfg3,mut_dirichlet,11,249,0.5233751251118114
age_moea,wfg3,mut_dirichlet,12,249,0.5350171009226389
age_moea,wfg3,mut_dirichlet,13,249,0.5154458850690039
age_moea,wfg3,mut_dirichlet,14,249,0.5410158837719695
age_moea,wfg3,mut_dirichlet,15,249,0.5060880431455866
age_moea,wfg3,mut_dirichlet,16,249,0.5192166611004684
age_moea,wfg3,mut_dirichlet,17,249,0.5475259432523906
age_moea,wfg3,mut_dirichlet,18,249,0.5477204387458612
age_moea,wfg3,mut_dirichlet,19,249,0.516786283254174
age_moea,wfg3,mut_lognormal,0,249,0.5379753948274086
age_moea,wfg3,mut_lognormal,1,249,0.5106160497430248
age_moea,wfg3,mut_lognormal,2,249,0.5395898011669275
age_moea,wfg3,mut_lognormal,3,249,0.5382158088474666
age_moea,wfg3,mut_lognormal,4,249,0.533486120747054
age_moea,wfg3,mut_lognormal,5,249,0.5158610719840672
age_moea,wfg3,mut_lognormal,6,249,0.5229926757851647
age_moea,wfg3,mut_lognormal,7,249,0.5349903713318835
age_moea,wfg3,mut_lognormal,8,249,0.5188454397621968
age_moea,wfg3,mut_lognormal,9,249,0.5287556963083849
age_moea,wfg3,mut_lognormal,10,249,0.5340133271037518
age_moea,wfg3,mut_lognormal,11,249,0.5442486162204194
age_moea,wfg3,mut_lognormal,12,249,0.5316077450752413
age_moea,wfg3,mut_lognormal,13,249,0.5290929615677396
age_moea,wfg3,mut_lognormal,14,249,0.519738241352816
age_moea,wfg3,mut_lognormal,15,249,0.5103457466776922
age_moea,wfg3,mut_lognormal,16,249,0.5282115337987301
age_moea,wfg3,mut_lognormal,17,249,0.5414120895537933
age_moea,wfg3,mut_lognormal,18,249,0.5325766892807378
age_moea,wfg3,mut_lognormal,19,249,0.5223550251796112
age_moea,wfg3,mut_exponential,0,249,0.5228173387807511
age_moea,wfg3,mut_exponential,1,249,0.5413288676878325
age_moea,wfg3,mut_exponential,2,249,0.543950901395692
age_moea,wfg3,mut_exponential,3,249,0.4579725415744654
age_moea,wfg3,mut_exponential,4,249,0.5406120786346149
age_moea,wfg3,mut_exponential,5,249,0.544097359812625
age_moea,wfg3,mut_exponential,6,249,0.5162795164942554
age_moea,wfg3,mut_exponential,7,249,0.5082110872832569
age_moea,wfg3,mut_exponential,8,249,0.5124900197478973
age_moea,wfg3,mut_exponential,9,249,0.5394296778934177
age_moea,wfg3,mut_exponential,10,249,0.5404301556410687
age_moea,wfg3,mut_exponential,11,249,0.517429512905298
age_moea,wfg3,mut_exponential,12,249,0.5107709122817843
age_moea,wfg3,mut_exponential,13,249,0.5271330809495677
age_moea,wfg3,mut_exponential,14,249,0.5394738682004305
age_moea,wfg3,mut_exponential,15,249,0.542714305362891
age_moea,wfg3,mut_exponential,16,249,0.5401945696376208
age_moea,wfg3,mut_exponential,17,249,0.5411423281209642
age_moea,wfg3,mut_exponential,18,249,0.5303424818137704
age_moea,wfg3,mut_exponential,19,249,0.5458032483255819
age_moea,wfg3,mut_normal,0,249,0.5412176571733684
age_moea,wfg3,mut_normal,1,249,0.5302444614394772
age_moea,wfg3,mut_normal,2,249,0.5383987785633466
age_moea,wfg3,mut_normal,3,249,0.5411856373942515
age_moea,wfg3,mut_normal,4,249,0.5371123213494136
age_moea,wfg3,mut_normal,5,249,0.5405605806957777
age_moea,wfg3,mut_normal,6,249,0.5300253439762124
age_moea,wfg3,mut_normal,7,249,0.5363544879523126
age_moea,wfg3,mut_normal,8,249,0.5428491991156346
age_moea,wfg3,mut_normal,9,249,0.5185247680937359
age_moea,wfg3,mut_normal,10,249,0.5456633836832031
age_moea,wfg3,mut_normal,11,249,0.5278352675677097
age_moea,wfg3,mut_normal,12,249,0.5183461532832954
age_moea,wfg3,mut_normal,13,249,0.5358564278313601
age_moea,wfg3,mut_normal,14,249,0.5275550024491173
age_moea,wfg3,mut_normal,15,249,0.5117629139123103
age_moea,wfg3,mut_normal,16,249,0.540534342941415
age_moea,wfg3,mut_normal,17,249,0.5121297020485479
age_moea,wfg3,mut_normal,18,249,0.5377866782010814
age_moea,wfg3,mut_normal,19,249,0.5099889743718207
