Algorithm,Problem,Operator,Execucion,Generation,HV_gen
moead,dtlz1,baseline,0,249,1.1603679599866221
moead,dtlz1,baseline,1,249,0.9006849189505909
moead,dtlz1,baseline,2,249,1.173153138247156
moead,dtlz1,baseline,3,249,0.6366072252098722
moead,dtlz1,baseline,4,249,1.171366464008235
moead,dtlz1,baseline,5,249,1.1824240130719914
moead,dtlz1,baseline,6,249,1.0721228161182794
moead,dtlz1,baseline,7,249,0.8797942416644269
moead,dtlz1,baseline,8,249,1.1374491679288308
moead,dtlz1,baseline,9,249,1.1835742557097244
moead,dtlz1,baseline,10,249,1.1743267315879764
moead,dtlz1,baseline,11,249,1.0906402261176236
moead,dtlz1,baseline,12,249,1.2017458485180126
moead,dtlz1,baseline,13,249,1.1509122244441414
moead,dtlz1,baseline,14,249,1.1488002121151066
moead,dtlz1,baseline,15,249,1.0824131166257933
moead,dtlz1,baseline,16,249,1.1037206904376793
moead,dtlz1,baseline,17,249,1.1715828317472747
moead,dtlz1,baseline,18,249,1.1749827401758461
moead,dtlz1,baseline,19,249,1.1295588959309604
moead,dtlz1,sam_energy,0,249,0.7175781023741196
moead,dtlz1,sam_energy,1,249,0.6827553944896976
moead,dtlz1,sam_energy,2,249,0.4316541765086918
moead,dtlz1,sam_energy,3,249,0.10739798960336765
moead,dtlz1,sam_energy,4,249,0.4903012975142247
moead,dtlz1,sam_energy,5,249,0.13990318710577987
moead,dtlz1,sam_energy,6,249,0.41404857399562234
moead,dtlz1,sam_energy,7,249,0.41974234252814335
moead,dtlz1,sam_energy,8,249,0.46546488550573595
moead,dtlz1,sam_energy,9,249,0.431763957126171
moead,dtlz1,sam_energy,10,249,0.43460691907186505
moead,dtlz1,sam_energy,11,249,0.48740345832858745
moead,dtlz1,sam_energy,12,249,0.4559319656800558
moead,dtlz1,sam_energy,13,249,0.446606640670977
moead,dtlz1,sam_energy,14,249,0.17379907329229155
moead,dtlz1,sam_energy,15,249,0.4333993634609284
moead,dtlz1,sam_energy,16,249,0.09201027457030672
moead,dtlz1,sam_energy,17,249,1.0250971322413618
moead,dtlz1,sam_energy,18,249,0.4332260146976703
moead,dtlz1,sam_energy,19,249,0.4325774420371801
moead,dtlz1,sam_redd,0,249,1.0454053872760514
moead,dtlz1,sam_redd,1,249,1.157237828834635
moead,dtlz1,sam_redd,2,249,1.0946860543095334
moead,dtlz1,sam_redd,3,249,0.6705306033825178
moead,dtlz1,sam_redd,4,249,0.9433201166727152
moead,dtlz1,sam_redd,5,249,0.7943904222042691
moead,dtlz1,sam_redd,6,249,1.142533881105749
moead,dtlz1,sam_redd,7,249,1.1349331938858123
moead,dtlz1,sam_redd,8,249,0.6205541181754034
moead,dtlz1,sam_redd,9,249,0.8818520041295009
moead,dtlz1,sam_redd,10,249,1.1050142333838642
moead,dtlz1,sam_redd,11,249,1.1142866246543583
