Algorithm,Problem,Operator,Execucion,Generation,HV_gen
moead,wfg8,baseline,0,249,0.010428059469151747
moead,wfg8,baseline,1,249,0.10213438590678749
moead,wfg8,baseline,2,249,0.00925047226685527
moead,wfg8,baseline,3,249,0.2762012912285751
moead,wfg8,baseline,4,249,0.5953908997494174
moead,wfg8,baseline,5,249,0.002642183386792734
moead,wfg8,baseline,6,249,0.32239248554659045
moead,wfg8,baseline,7,249,1.0199351131239294
moead,wfg8,baseline,8,249,0.5807898632112397
moead,wfg8,baseline,9,249,0.28813035315081303
moead,wfg8,baseline,10,249,0.22774492786645667
moead,wfg8,baseline,11,249,0.08857270060523169
moead,wfg8,baseline,12,249,0.036758330390702317
moead,wfg8,baseline,13,249,0.30128999448830535
moead,wfg8,baseline,14,249,0.028083560215347594
moead,wfg8,baseline,15,249,0.028899802011583278
moead,wfg8,baseline,16,249,0.08241206656039485
moead,wfg8,baseline,17,249,0.033447717730685236
moead,wfg8,baseline,18,249,0.08303564640757993
moead,wfg8,baseline,19,249,0.09049061332695935
moead,wfg8,sam_energy,0,249,0.0038042461775084488
moead,wfg8,sam_energy,1,249,0.06043268619975555
moead,wfg8,sam_energy,2,249,0.010114475424135554
moead,wfg8,sam_energy,3,249,0.010319843892960506
moead,wfg8,sam_energy,4,249,0.10190050332720765
moead,wfg8,sam_energy,5,249,0.009251559231250936
moead,wfg8,sam_energy,6,249,0.0022199395609912497
moead,wfg8,sam_energy,7,249,0.12117661784343504
moead,wfg8,sam_energy,8,249,0.41659186992608876
moead,wfg8,sam_energy,9,249,0.01086536535578162
moead,wfg8,sam_energy,10,249,0.014370103493839548
moead,wfg8,sam_energy,11,249,0.010572299404357999
moead,wfg8,sam_energy,12,249,0.04549037583152117
moead,wfg8,sam_energy,13,249,0.006960965401665417
moead,wfg8,sam_energy,14,249,0.022894509421816627
moead,wfg8,sam_energy,15,249,0.09374130996110204
moead,wfg8,sam_energy,16,249,0.3424255728612026
moead,wfg8,sam_energy,17,249,0.014507866802755646
moead,wfg8,sam_energy,18,249,0.010756779861426046
moead,wfg8,sam_energy,19,249,0.040248469079011584
moead,wfg8,sam_redd,0,249,0.024774891873145216
moead,wfg8,sam_redd,1,249,0.5839877578804045
moead,wfg8,sam_redd,2,249,0.04331282746931793
moead,wfg8,sam_redd,3,249,0.3745574390479439
moead,wfg8,sam_redd,4,249,0.2954453427263234
moead,wfg8,sam_redd,5,249,0.05153386175536162
moead,wfg8,sam_redd,6,249,0.6814066780185056
moead,wfg8,sam_redd,7,249,0.18846997229637302
moead,wfg8,sam_redd,8,249,0.02964981627392907
moead,wfg8,sam_redd,9,249,0.021279790786034553
moead,wfg8,sam_redd,10,249,0.21535896076452016
moead,wfg8,sam_redd,11,249,0.27947259139997266
moead,wfg8,sam_redd,12,249,0.1004825938621819
moead,wfg8,sam_redd,13,249,0.0488450427544581
moead,wfg8,sam_redd,14,249,0.08138140149847053
moead,wfg8,sam_redd,15,249,0.4883576728759141
moead,wfg8,sam_redd,16,249,0.18704895581408978
moead,wfg8,sam_redd,17,249,0.046482982339541186
moead,wfg8,sam_redd,18,249,0.46478312489070533
moead,wfg8,sam_redd,19,249,0.49994857190028297
moead,wfg8,sam_mssd,0,249,0.020035219060474757
moead,wfg8,sam_mssd,1,249,0.2863087702522485
moead,wfg8,sam_mssd,2,249,0.5903579100387818
moead,wfg8,sam_mssd,3,249,0.15712961418681515
moead,wfg8,sam_mssd,4,249,1.0251870291883292
moead,wfg8,sam_mssd,5,249,0.016792423598470458
moead,wfg8,sam_mssd,6,249,0.01005310593527373
moead,wfg8,sam_mssd,7,249,0.19804924451540584
moead,wfg8,sam_mssd,8,249,0.12497949641663769
moead,wfg8,sam_mssd,9,249,0.5246280576676879
moead,wfg8,sam_mssd,10,249,0.21112439733714228
moead,wfg8,sam_mssd,11,249,0.08229880021774273
moead,wfg8,sam_mssd,12,249,0.030663303277399877
moead,wfg8,sam_mssd,13,249,0.4183932479091272
moead,wfg8,sam_mssd,14,249,0.010351965063055954
moead,wfg8,sam_mssd,15,249,0.5748088412222273
moead,wfg8,sam_mssd,16,249,0.2232381297014909
moead,wfg8,sam_mssd,17,249,0.12796996853086404
moead,wfg8,sam_mssd,18,249,0.09646744166347318
moead,wfg8,sam_mssd,19,249,0.009607041648988932
moead,wfg8,sam_uniform,0,249,0.040389601420293124
moead,wfg8,sam_uniform,1,249,0.016023641935900633
moead,wfg8,sam_uniform,2,249,0.6814511469828011
moead,wfg8,sam_uniform,3,249,0.1463235736260821
moead,wfg8,sam_uniform,4,249,0.015794002808973768
moead,wfg8,sam_uniform,5,249,0.4401894019932704
moead,wfg8,sam_uniform,6,249,0.011924792083204605
moead,wfg8,sam_uniform,7,249,0.3908254567243909
moead,wfg8,sam_uniform,8,249,0.28561884096785534
moead,wfg8,sam_uniform,9,249,0.01064192402750425
moead,wfg8,sam_uniform,10,249,0.009483714153413477
moead,wfg8,sam_uniform,11,249,0.6994257748456092
moead,wfg8,sam_uniform,12,249,0.10410203189380471
moead,wfg8,sam_uniform,13,249,0.18866901969036406
moead,wfg8,sam_uniform,14,249,0.11136004878489067
moead,wfg8,sam_uniform,15,249,0.6184918824032242
moead,wfg8,sam_uniform,16,249,0.1277731184099462
moead,wfg8,sam_uniform,17,249,0.26459410339269573
moead,wfg8,sam_uniform,18,249,0.544724369307267
moead,wfg8,sam_uniform,19,249,0.15691119272175172
moead,wfg8,mut_dirichlet,0,249,0.2399523939468575
moead,wfg8,mut_dirichlet,1,249,0.44621673059091355
moead,wfg8,mut_dirichlet,2,249,0.4064820921082575
moead,wfg8,mut_dirichlet,3,249,0.38020912742571256
moead,wfg8,mut_dirichlet,4,249,0.38194881309873596
moead,wfg8,mut_dirichlet,5,249,0.2971433872837379
moead,wfg8,mut_dirichlet,6,249,0.39986490736456864
moead,wfg8,mut_dirichlet,7,249,0.3857880370149932
moead,wfg8,mut_dirichlet,8,249,0.39074069979052856
moead,wfg8,mut_dirichlet,9,249,0.32169169608606313
moead,wfg8,mut_dirichlet,10,249,0.1895412898155189
moead,wfg8,mut_dirichlet,11,249,0.28218730063749997
moead,wfg8,mut_dirichlet,12,249,0.18341568347315645
moead,wfg8,mut_dirichlet,13,249,0.4280188773997106
moead,wfg8,mut_dirichlet,14,249,0.3477264229154814
moead,wfg8,mut_dirichlet,15,249,0.27117302740108945
moead,wfg8,mut_dirichlet,16,249,0.00982195215784904
moead,wfg8,mut_dirichlet,17,249,0.19260787185279662
moead,wfg8,mut_dirichlet,18,249,0.1901662334515039
moead,wfg8,mut_dirichlet,19,249,0.6144367169224381
moead,wfg8,mut_lognormal,0,249,0.5211939927616046
moead,wfg8,mut_lognormal,1,249,0.07574876630021392
moead,wfg8,mut_lognormal,2,249,0.6254643457577881
moead,wfg8,mut_lognormal,3,249,0.56049036559263
moead,wfg8,mut_lognormal,4,249,0.46804263514306094
moead,wfg8,mut_lognormal,5,249,0.6569905448842822
moead,wfg8,mut_lognormal,6,249,0.4226363025580939
moead,wfg8,mut_lognormal,7,249,0.31637476344824206
moead,wfg8,mut_lognormal,8,249,0.496980351802955
moead,wfg8,mut_lognormal,9,249,0.45007539320669987
moead,wfg8,mut_lognormal,10,249,0.3773122946353508
moead,wfg8,mut_lognormal,11,249,0.41831276167260034
moead,wfg8,mut_lognormal,12,249,0.49099447789683387
moead,wfg8,mut_lognormal,13,249,0.4146660974085305
moead,wfg8,mut_lognormal,14,249,0.4003509153486729
moead,wfg8,mut_lognormal,15,249,0.6403510782891078
moead,wfg8,mut_lognormal,16,249,0.3968900097324719
moead,wfg8,mut_lognormal,17,249,0.47472785851127725
moead,wfg8,mut_lognormal,18,249,0.494501346643709
moead,wfg8,mut_lognormal,19,249,0.7071490301331089
moead,wfg8,mut_exponential,0,249,0.7149904793047562
moead,wfg8,mut_exponential,1,249,0.8253260669147624
moead,wfg8,mut_exponential,2,249,0.7358577889200342
moead,wfg8,mut_exponential,3,249,0.6156711974249915
moead,wfg8,mut_exponential,4,249,0.6928486952748213
moead,wfg8,mut_exponential,5,249,0.7281912443124893
moead,wfg8,mut_exponential,6,249,0.76413541651229
moead,wfg8,mut_exponential,7,249,0.2669805946604828
moead,wfg8,mut_exponential,8,249,0.3888116309427612
moead,wfg8,mut_exponential,9,249,0.20058422130156686
moead,wfg8,mut_exponential,10,249,0.3722062806517861
moead,wfg8,mut_exponential,11,249,0.5005221840541251
moead,wfg8,mut_exponential,12,249,0.873165445701288
moead,wfg8,mut_exponential,13,249,0.052991135872172676
moead,wfg8,mut_exponential,14,249,0.7718356944198737
moead,wfg8,mut_exponential,15,249,0.32090060057683295
moead,wfg8,mut_exponential,16,249,0.5869477431319728
moead,wfg8,mut_exponential,17,249,0.5539763575303938
moead,wfg8,mut_exponential,18,249,0.6737411200985725
moead,wfg8,mut_exponential,19,249,0.5672851444389814
moead,wfg8,mut_normal,0,249,0.3313060660818442
moead,wfg8,mut_normal,1,249,0.5148803255184932
moead,wfg8,mut_normal,2,249,0.40495597745157763
moead,wfg8,mut_normal,3,249,0.3999235905026382
moead,wfg8,mut_normal,4,249,0.5474168419844232
moead,wfg8,mut_normal,5,249,0.4418510197919523
moead,wfg8,mut_normal,6,249,0.4873710418272484
moead,wfg8,mut_normal,7,249,0.5025528608480263
moead,wfg8,mut_normal,8,249,0.706302743259827
moead,wfg8,mut_normal,9,249,0.4901691275001471
moead,wfg8,mut_normal,10,249,0.7267939688151728
moead,wfg8,mut_normal,11,249,0.5578685233669307
moead,wfg8,mut_normal,12,249,0.30505023668228876
moead,wfg8,mut_normal,13,249,0.4693852505094718
moead,wfg8,mut_normal,14,249,0.3851805135943343
moead,wfg8,mut_normal,15,249,0.5291368039884211
moead,wfg8,mut_normal,16,249,0.45374477742247293
moead,wfg8,mut_normal,17,249,0.5592899449841108
moead,wfg8,mut_normal,18,249,0.6569711670119825
moead,wfg8,mut_normal,19,249,0.45027560390105903
