Algorithm,Problem,Operator,Execucion,Generation,HV_gen
moead,zdt2,baseline,0,249,0.1718919682148711
moead,zdt2,baseline,1,249,0.13858334357941687
moead,zdt2,baseline,2,249,0.11485803498579465
moead,zdt2,baseline,3,249,0.154749271259255
moead,zdt2,baseline,4,249,0.23590276742787264
moead,zdt2,baseline,5,249,0.24432262366810406
moead,zdt2,baseline,6,249,0.17531142503124605
moead,zdt2,baseline,7,249,0.12299216158855987
moead,zdt2,baseline,8,249,0.20901063608407477
moead,zdt2,baseline,9,249,0.24541282374170587
moead,zdt2,baseline,10,249,0.23845289355698485
moead,zdt2,baseline,11,249,0.2447043155155466
moead,zdt2,baseline,12,249,0.18913328007857663
moead,zdt2,baseline,13,249,0.15380156611258708
moead,zdt2,baseline,14,249,0.23224280727771357
moead,zdt2,baseline,15,249,0.23764193086140495
moead,zdt2,baseline,16,249,0.2135623732448128
moead,zdt2,baseline,17,249,0.20732847787867906
moead,zdt2,baseline,18,249,0.1464784369631393
moead,zdt2,baseline,19,249,0.1575275722498622
moead,zdt2,sam_energy,0,249,0.18525952711301422
moead,zdt2,sam_energy,1,249,0.1261018704859791
moead,zdt2,sam_energy,2,249,0.21396127333215423
moead,zdt2,sam_energy,3,249,0.19156963002409108
moead,zdt2,sam_energy,4,249,0.2270033511600494
moead,zdt2,sam_energy,5,249,0.21565151669432656
moead,zdt2,sam_energy,6,249,0.21584928554108512
moead,zdt2,sam_energy,7,249,0.24141415823935175
moead,zdt2,sam_energy,8,249,0.16390081531015485
moead,zdt2,sam_energy,9,249,0.22990077569202985
moead,zdt2,sam_energy,10,249,0.17727152563316068
moead,zdt2,sam_energy,11,249,0.21191001951593827
moead,zdt2,sam_energy,12,249,0.2059938820876379
moead,zdt2,sam_energy,13,249,0.24559825916737632
moead,zdt2,sam_energy,14,249,0.17931174841707054
moead,zdt2,sam_energy,15,249,0.24467344085285223
moead,zdt2,sam_energy,16,249,0.20774714599049632
moead,zdt2,sam_energy,17,249,0.2363761933155984
moead,zdt2,sam_energy,18,249,0.14299057449229774
moead,zdt2,sam_energy,19,249,0.24326804557249984
moead,zdt2,sam_redd,0,249,0.2140375804103736
moead,zdt2,sam_redd,1,249,0.2454431941478773
moead,zdt2,sam_redd,2,249,0.21802914480721533
moead,zdt2,sam_redd,3,249,0.23915279572813158
moead,zdt2,sam_redd,4,249,0.22899924312420875
moead,zdt2,sam_redd,5,249,0.2170418180026224
moead,zdt2,sam_redd,6,249,0.11000000000000011
moead,zdt2,sam_redd,7,249,0.13288069118719384
moead,zdt2,sam_redd,8,249,0.17461333564687662
moead,zdt2,sam_redd,9,249,0.12172771730329558
moead,zdt2,sam_redd,10,249,0.24427010432519827
moead,zdt2,sam_redd,11,249,0.14146796365792386
moead,zdt2,sam_redd,12,249,0.23048774424464868
moead,zdt2,sam_redd,13,249,0.12022569353595347
moead,zdt2,sam_redd,14,249,0.15095336047123573
moead,zdt2,sam_redd,15,249,0.24322692846739444
moead,zdt2,sam_redd,16,249,0.12390831325684024
moead,zdt2,sam_redd,17,249,0.16595108166152422
moead,zdt2,sam_redd,18,249,0.18116701982247793
moead,zdt2,sam_redd,19,249,0.18787031552742203
moead,zdt2,sam_mssd,0,249,0.24517574669739375
moead,zdt2,sam_mssd,1,249,0.1682645865303044
moead,zdt2,sam_mssd,2,249,0.22779323285503145
moead,zdt2,sam_mssd,3,249,0.21611184311927545
moead,zdt2,sam_mssd,4,249,0.23476930410479724
moead,zdt2,sam_mssd,5,249,0.24178168960931992
moead,zdt2,sam_mssd,6,249,0.22769146418158945
moead,zdt2,sam_mssd,7,249,0.24552986693472567
moead,zdt2,sam_mssd,8,249,0.1349999202332946
moead,zdt2,sam_mssd,9,249,0.14212923669246533
moead,zdt2,sam_mssd,10,249,0.22482163374744155
moead,zdt2,sam_mssd,11,249,0.21969426922509658
