Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaii,dtlz4,baseline,0,249,0.43278202444305314
nsgaii,dtlz4,baseline,1,249,0.4327820237005571
nsgaii,dtlz4,baseline,2,249,0.43278202464072285
nsgaii,dtlz4,baseline,3,249,0.4327820246277025
nsgaii,dtlz4,baseline,4,249,0.43278202041094643
nsgaii,dtlz4,baseline,5,249,0.43278202464217314
nsgaii,dtlz4,baseline,6,249,0.4327820228958369
nsgaii,dtlz4,baseline,7,249,0.4327820246134519
nsgaii,dtlz4,baseline,8,249,0.43278202464533283
nsgaii,dtlz4,baseline,9,249,0.43278202461304105
nsgaii,dtlz4,baseline,10,249,0.4327820246121039
nsgaii,dtlz4,baseline,11,249,0.4327820246398042
nsgaii,dtlz4,baseline,12,249,0.4327820242545142
nsgaii,dtlz4,baseline,13,249,0.4327820245076776
nsgaii,dtlz4,baseline,14,249,0.43278202464533205
nsgaii,dtlz4,baseline,15,249,0.432782024449366
nsgaii,dtlz4,baseline,16,249,0.4327820246382035
nsgaii,dtlz4,baseline,17,249,0.4327820243571674
nsgaii,dtlz4,baseline,18,249,0.4327820243319148
nsgaii,dtlz4,baseline,19,249,0.4327820245977655
nsgaii,dtlz4,sam_energy,0,249,0.6930679184144231
nsgaii,dtlz4,sam_energy,1,249,0.6909335557149874
nsgaii,dtlz4,sam_energy,2,249,0.7082988043335017
nsgaii,dtlz4,sam_energy,3,249,0.7010632782129578
nsgaii,dtlz4,sam_energy,4,249,0.4327820246320121
nsgaii,dtlz4,sam_energy,5,249,0.6932415899490244
nsgaii,dtlz4,sam_energy,6,249,0.6842733153578079
nsgaii,dtlz4,sam_energy,7,249,0.6524716284216883
nsgaii,dtlz4,sam_energy,8,249,0.6859320187414658
nsgaii,dtlz4,sam_energy,9,249,0.6922860044146502
nsgaii,dtlz4,sam_energy,10,249,0.7082142635515821
nsgaii,dtlz4,sam_energy,11,249,0.7001264977777453
nsgaii,dtlz4,sam_energy,12,249,0.6853695073897224
nsgaii,dtlz4,sam_energy,13,249,0.7032190466623928
nsgaii,dtlz4,sam_energy,14,249,0.45761358455957996
nsgaii,dtlz4,sam_energy,15,249,0.7085812545416946
nsgaii,dtlz4,sam_energy,16,249,0.7027973087503367
nsgaii,dtlz4,sam_energy,17,249,0.6934800050377463
nsgaii,dtlz4,sam_energy,18,249,0.4327820231697387
nsgaii,dtlz4,sam_energy,19,249,0.43278202449554026
nsgaii,dtlz4,sam_redd,0,249,0.43278202455219983
nsgaii,dtlz4,sam_redd,1,249,0.43278202322191317
nsgaii,dtlz4,sam_redd,2,249,0.43278202450454084
nsgaii,dtlz4,sam_redd,3,249,0.43278202405238103
nsgaii,dtlz4,sam_redd,4,249,0.43278202464428006
nsgaii,dtlz4,sam_redd,5,249,0.4327820230134191
nsgaii,dtlz4,sam_redd,6,249,0.4327820244039266
nsgaii,dtlz4,sam_redd,7,249,0.43278202281053413
nsgaii,dtlz4,sam_redd,8,249,0.4327820246453331
nsgaii,dtlz4,sam_redd,9,249,0.4327820246351275
nsgaii,dtlz4,sam_redd,10,249,0.4327820234387464
nsgaii,dtlz4,sam_redd,11,249,0.432782024641943
nsgaii,dtlz4,sam_redd,12,249,0.43278202456416576
nsgaii,dtlz4,sam_redd,13,249,0.4327820246453333
nsgaii,dtlz4,sam_redd,14,249,0.43278202460913195
nsgaii,dtlz4,sam_redd,15,249,0.43278202409004635
nsgaii,dtlz4,sam_redd,16,249,0.43278202399414156
nsgaii,dtlz4,sam_redd,17,249,0.432782024039163
nsgaii,dtlz4,sam_redd,18,249,0.43278202460678417
nsgaii,dtlz4,sam_redd,19,249,0.43278202415702083
nsgaii,dtlz4,sam_uniform,0,249,0.43278202464435356
nsgaii,dtlz4,sam_uniform,1,249,0.4327820246378722
nsgaii,dtlz4,sam_uniform,2,249,0.4327820245454275
nsgaii,dtlz4,sam_uniform,3,249,0.4327820219312839
nsgaii,dtlz4,sam_uniform,4,249,0.4327820246453326
nsgaii,dtlz4,sam_uniform,5,249,0.43278202460564286
nsgaii,dtlz4,sam_uniform,6,249,0.43278202180904
nsgaii,dtlz4,sam_uniform,7,249,0.4327820223295401
nsgaii,dtlz4,sam_uniform,8,249,0.43278202251576026
nsgaii,dtlz4,sam_uniform,9,249,0.4327820241259639
nsgaii,dtlz4,sam_uniform,10,249,0.4327820242463187
nsgaii,dtlz4,sam_uniform,11,249,0.4327820246453307
