Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaii,wfg4,baseline,0,249,0.5706929362828684
nsgaii,wfg4,baseline,1,249,0.5427194827677309
nsgaii,wfg4,baseline,2,249,0.5472428601652227
nsgaii,wfg4,baseline,3,249,0.5570581763408322
nsgaii,wfg4,baseline,4,249,0.5478202467766894
nsgaii,wfg4,baseline,5,249,0.5599311139212053
nsgaii,wfg4,baseline,6,249,0.5784873667441073
nsgaii,wfg4,baseline,7,249,0.5530546800452234
nsgaii,wfg4,baseline,8,249,0.5606602216481128
nsgaii,wfg4,baseline,9,249,0.558125252205182
nsgaii,wfg4,baseline,10,249,0.5604776873745068
nsgaii,wfg4,baseline,11,249,0.5639010399562013
nsgaii,wfg4,baseline,12,249,0.5657886015640049
nsgaii,wfg4,baseline,13,249,0.572915420363775
nsgaii,wfg4,baseline,14,249,0.5743961155193078
nsgaii,wfg4,baseline,15,249,0.5645161490493836
nsgaii,wfg4,baseline,16,249,0.5703560064428317
nsgaii,wfg4,baseline,17,249,0.5470483742873435
nsgaii,wfg4,baseline,18,249,0.5534237275171825
nsgaii,wfg4,baseline,19,249,0.5728705599074919
nsgaii,wfg4,sam_energy,0,249,0.5866677977625105
nsgaii,wfg4,sam_energy,1,249,0.569506716792059
nsgaii,wfg4,sam_energy,2,249,0.5730842483009456
nsgaii,wfg4,sam_energy,3,249,0.5684860524781421
nsgaii,wfg4,sam_energy,4,249,0.55590525314357
nsgaii,wfg4,sam_energy,5,249,0.5814967553206248
nsgaii,wfg4,sam_energy,6,249,0.5664559366007231
nsgaii,wfg4,sam_energy,7,249,0.5729199402974027
nsgaii,wfg4,sam_energy,8,249,0.5707739143900953
nsgaii,wfg4,sam_energy,9,249,0.5826387549255811
nsgaii,wfg4,sam_energy,10,249,0.553653309471525
nsgaii,wfg4,sam_energy,11,249,0.5585189391553675
nsgaii,wfg4,sam_energy,12,249,0.5649284256556707
nsgaii,wfg4,sam_energy,13,249,0.5596175162218794
nsgaii,wfg4,sam_energy,14,249,0.5734120202177813
nsgaii,wfg4,sam_energy,15,249,0.573735032711474
nsgaii,wfg4,sam_energy,16,249,0.5699494417065436
nsgaii,wfg4,sam_energy,17,249,0.5708608274358726
nsgaii,wfg4,sam_energy,18,249,0.5544833406044282
nsgaii,wfg4,sam_energy,19,249,0.5699155583922084
nsgaii,wfg4,sam_redd,0,249,0.560927925049689
nsgaii,wfg4,sam_redd,1,249,0.566283534776145
nsgaii,wfg4,sam_redd,2,249,0.5830712474505017
nsgaii,wfg4,sam_redd,3,249,0.571642647465996
nsgaii,wfg4,sam_redd,4,249,0.5679211259962662
nsgaii,wfg4,sam_redd,5,249,0.5682608393146259
nsgaii,wfg4,sam_redd,6,249,0.5537192248368256
nsgaii,wfg4,sam_redd,7,249,0.5493801791216079
nsgaii,wfg4,sam_redd,8,249,0.5735246327892771
nsgaii,wfg4,sam_redd,9,249,0.5647809975081735
nsgaii,wfg4,sam_redd,10,249,0.5647805935565096
nsgaii,wfg4,sam_redd,11,249,0.5352441325197018
nsgaii,wfg4,sam_redd,12,249,0.5600123792697699
nsgaii,wfg4,sam_redd,13,249,0.5743892588903292
nsgaii,wfg4,sam_redd,14,249,0.5562048394975903
nsgaii,wfg4,sam_redd,15,249,0.5574633386103464
nsgaii,wfg4,sam_redd,16,249,0.5723256157584494
nsgaii,wfg4,sam_redd,17,249,0.5636874463075207
nsgaii,wfg4,sam_redd,18,249,0.5637393937127241
nsgaii,wfg4,sam_redd,19,249,0.5668523622507537
nsgaii,wfg4,sam_mssd,0,249,0.5618852101735221
nsgaii,wfg4,sam_mssd,1,249,0.5789445782836832
nsgaii,wfg4,sam_mssd,2,249,0.567688866957664
nsgaii,wfg4,sam_mssd,3,249,0.5694776286701104
nsgaii,wfg4,sam_mssd,4,249,0.563596650686588
nsgaii,wfg4,sam_mssd,5,249,0.5655882754569151
nsgaii,wfg4,sam_mssd,6,249,0.5493876697849629
nsgaii,wfg4,sam_mssd,7,249,0.5579101700469067
nsgaii,wfg4,sam_mssd,8,249,0.5646097007313893
nsgaii,wfg4,sam_mssd,9,249,0.5747308135593353
nsgaii,wfg4,sam_mssd,10,249,0.5881064123234244
nsgaii,wfg4,sam_mssd,11,249,0.57937606438492
nsgaii,wfg4,sam_mssd,12,249,0.561577896362199
nsgaii,wfg4,sam_mssd,13,249,0.5731937884415872
nsgaii,wfg4,sam_mssd,14,249,0.5590661613718358
nsgaii,wfg4,sam_mssd,15,249,0.5688559683481875
nsgaii,wfg4,sam_mssd,16,249,0.5820136544026013
nsgaii,wfg4,sam_mssd,17,249,0.5743833646411496
nsgaii,wfg4,sam_mssd,18,249,0.5533825352491267
nsgaii,wfg4,sam_mssd,19,249,0.5705422457485776
nsgaii,wfg4,sam_uniform,0,249,0.571827360140684
nsgaii,wfg4,sam_uniform,1,249,0.5609465049688789
nsgaii,wfg4,sam_uniform,2,249,0.5788676553217121
nsgaii,wfg4,sam_uniform,3,249,0.5557193908502023
nsgaii,wfg4,sam_uniform,4,249,0.5600315400347124
nsgaii,wfg4,sam_uniform,5,249,0.5472202525174886
nsgaii,wfg4,sam_uniform,6,249,0.574038487824496
nsgaii,wfg4,sam_uniform,7,249,0.5730462686181909
nsgaii,wfg4,sam_uniform,8,249,0.5642363294824837
nsgaii,wfg4,sam_uniform,9,249,0.5669594924283066
nsgaii,wfg4,sam_uniform,10,249,0.5488837556148531
nsgaii,wfg4,sam_uniform,11,249,0.5747413779973392
nsgaii,wfg4,sam_uniform,12,249,0.5592326637169984
nsgaii,wfg4,sam_uniform,13,249,0.5464724595599789
nsgaii,wfg4,sam_uniform,14,249,0.554285377630551
nsgaii,wfg4,sam_uniform,15,249,0.5702546456589082
nsgaii,wfg4,sam_uniform,16,249,0.5584735241131739
nsgaii,wfg4,sam_uniform,17,249,0.5636835072364176
nsgaii,wfg4,sam_uniform,18,249,0.5592315978934765
nsgaii,wfg4,sam_uniform,19,249,0.5571957067875652
nsgaii,wfg4,mut_dirichlet,0,249,0.5566563369112294
nsgaii,wfg4,mut_dirichlet,1,249,0.5903239468202722
nsgaii,wfg4,mut_dirichlet,2,249,0.5500337472945607
nsgaii,wfg4,mut_dirichlet,3,249,0.55945316132806
nsgaii,wfg4,mut_dirichlet,4,249,0.5756071940370118
nsgaii,wfg4,mut_dirichlet,5,249,0.5694591197805463
nsgaii,wfg4,mut_dirichlet,6,249,0.5850857324190951
nsgaii,wfg4,mut_dirichlet,7,249,0.5750762785291634
nsgaii,wfg4,mut_dirichlet,8,249,0.5743019096686031
nsgaii,wfg4,mut_dirichlet,9,249,0.577617663261627
nsgaii,wfg4,mut_dirichlet,10,249,0.567022820462998
nsgaii,wfg4,mut_dirichlet,11,249,0.5760112173556693
nsgaii,wfg4,mut_dirichlet,12,249,0.5640011565307176
nsgaii,wfg4,mut_dirichlet,13,249,0.5718048028992302
nsgaii,wfg4,mut_dirichlet,14,249,0.5693103324854281
nsgaii,wfg4,mut_dirichlet,15,249,0.5758473962864544
nsgaii,wfg4,mut_dirichlet,16,249,0.5720993916124324
nsgaii,wfg4,mut_dirichlet,17,249,0.5515081495277717
nsgaii,wfg4,mut_dirichlet,18,249,0.5726318856430026
nsgaii,wfg4,mut_dirichlet,19,249,0.5702356142981836
