Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaii,zdt1,baseline,0,249,0.8554045117836622
nsgaii,zdt1,baseline,1,249,0.8560570067947902
nsgaii,zdt1,baseline,2,249,0.8529755096657656
nsgaii,zdt1,baseline,3,249,0.8545127920812253
nsgaii,zdt1,baseline,4,249,0.853505709725071
nsgaii,zdt1,baseline,5,249,0.8582065259627554
nsgaii,zdt1,baseline,6,249,0.8552624475355136
nsgaii,zdt1,baseline,7,249,0.8537748903559121
nsgaii,zdt1,baseline,8,249,0.8565906834560824
nsgaii,zdt1,baseline,9,249,0.8530720947348693
nsgaii,zdt1,baseline,10,249,0.855303436687608
nsgaii,zdt1,baseline,11,249,0.8535602427625887
nsgaii,zdt1,baseline,12,249,0.8530558526472265
nsgaii,zdt1,baseline,13,249,0.8569168795604895
nsgaii,zdt1,baseline,14,249,0.8536243845703225
nsgaii,zdt1,baseline,15,249,0.8538574328584553
nsgaii,zdt1,baseline,16,249,0.8565586799691985
nsgaii,zdt1,baseline,17,249,0.8554894081323222
nsgaii,zdt1,baseline,18,249,0.8566296291510915
nsgaii,zdt1,baseline,19,249,0.8552243819551018
nsgaii,zdt1,sam_energy,0,249,0.8580699242940869
nsgaii,zdt1,sam_energy,1,249,0.8528850489294002
nsgaii,zdt1,sam_energy,2,249,0.852562170597965
nsgaii,zdt1,sam_energy,3,249,0.8586475612729308
nsgaii,zdt1,sam_energy,4,249,0.8566693324983459
nsgaii,zdt1,sam_energy,5,249,0.8587828856622819
nsgaii,zdt1,sam_energy,6,249,0.856887561439456
nsgaii,zdt1,sam_energy,7,249,0.8558300341417041
nsgaii,zdt1,sam_energy,8,249,0.8555490384617302
nsgaii,zdt1,sam_energy,9,249,0.8554906067970961
nsgaii,zdt1,sam_energy,10,249,0.8565323497557603
nsgaii,zdt1,sam_energy,11,249,0.8575538385701036
nsgaii,zdt1,sam_energy,12,249,0.8529046251661756
nsgaii,zdt1,sam_energy,13,249,0.8572899290403687
nsgaii,zdt1,sam_energy,14,249,0.8580107798761218
nsgaii,zdt1,sam_energy,15,249,0.8577427954534058
nsgaii,zdt1,sam_energy,16,249,0.8582720167567326
nsgaii,zdt1,sam_energy,17,249,0.8575005718665872
nsgaii,zdt1,sam_energy,18,249,0.8577945938062195
nsgaii,zdt1,sam_energy,19,249,0.857636199769833
nsgaii,zdt1,sam_redd,0,249,0.8566487263218132
nsgaii,zdt1,sam_redd,1,249,0.858106799992607
nsgaii,zdt1,sam_redd,2,249,0.8542705161791245
nsgaii,zdt1,sam_redd,3,249,0.8565496425521654
nsgaii,zdt1,sam_redd,4,249,0.8549035207401837
nsgaii,zdt1,sam_redd,5,249,0.8563530818965113
nsgaii,zdt1,sam_redd,6,249,0.8522363190385818
nsgaii,zdt1,sam_redd,7,249,0.8575198575595909
nsgaii,zdt1,sam_redd,8,249,0.8564978297878942
nsgaii,zdt1,sam_redd,9,249,0.8570766047782621
nsgaii,zdt1,sam_redd,10,249,0.8579441386844011
nsgaii,zdt1,sam_redd,11,249,0.8551149012632338
nsgaii,zdt1,sam_redd,12,249,0.8570657024090672
nsgaii,zdt1,sam_redd,13,249,0.8557295928013986
nsgaii,zdt1,sam_redd,14,249,0.8545464758136915
nsgaii,zdt1,sam_redd,15,249,0.8545703470938142
nsgaii,zdt1,sam_redd,16,249,0.8572945457688629
