Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaiii,dtlz2,baseline,0,249,0.6669131948875947
nsgaiii,dtlz2,baseline,1,249,0.8042132836623255
nsgaiii,dtlz2,baseline,2,249,0.797993417490854
nsgaiii,dtlz2,baseline,3,249,0.43112140792967796
nsgaiii,dtlz2,baseline,4,249,0.7758417962853897
nsgaiii,dtlz2,baseline,5,249,0.8080256092694499
nsgaiii,dtlz2,baseline,6,249,0.4311214079296783
nsgaiii,dtlz2,baseline,7,249,0.8058168943100454
nsgaiii,dtlz2,baseline,8,249,0.7918888992806095
nsgaiii,dtlz2,baseline,9,249,0.667555630405187
nsgaiii,dtlz2,baseline,10,249,0.8046398733203713
nsgaiii,dtlz2,baseline,11,249,0.8077415416045679
nsgaiii,dtlz2,baseline,12,249,0.6696591832399724
nsgaiii,dtlz2,baseline,13,249,0.6432357405017726
nsgaiii,dtlz2,baseline,14,249,0.8084908746605638
nsgaiii,dtlz2,baseline,15,249,0.799829568964335
nsgaiii,dtlz2,baseline,16,249,0.8011507685416984
nsgaiii,dtlz2,baseline,17,249,0.6696785784284666
nsgaiii,dtlz2,baseline,18,249,0.43112140712769603
nsgaiii,dtlz2,baseline,19,249,0.7995207970536571
nsgaiii,dtlz2,sam_energy,0,249,0.8053000867883444
nsgaiii,dtlz2,sam_energy,1,249,0.7977887052886453
nsgaiii,dtlz2,sam_energy,2,249,0.8056121847238092
nsgaiii,dtlz2,sam_energy,3,249,0.8079219619687475
nsgaiii,dtlz2,sam_energy,4,249,0.8040767157797676
nsgaiii,dtlz2,sam_energy,5,249,0.7923746611985686
nsgaiii,dtlz2,sam_energy,6,249,0.8066933992029828
nsgaiii,dtlz2,sam_energy,7,249,0.804608895092527
nsgaiii,dtlz2,sam_energy,8,249,0.8064077011577037
nsgaiii,dtlz2,sam_energy,9,249,0.8072565227200308
nsgaiii,dtlz2,sam_energy,10,249,0.8111153800417112
nsgaiii,dtlz2,sam_energy,11,249,0.7998803035657451
nsgaiii,dtlz2,sam_energy,12,249,0.810874701705214
nsgaiii,dtlz2,sam_energy,13,249,0.8041381090345493
nsgaiii,dtlz2,sam_energy,14,249,0.7905724486943042
nsgaiii,dtlz2,sam_energy,15,249,0.8014187596175151
nsgaiii,dtlz2,sam_energy,16,249,0.8004867734230646
nsgaiii,dtlz2,sam_energy,17,249,0.7983646139229595
nsgaiii,dtlz2,sam_energy,18,249,0.7869121466369453
nsgaiii,dtlz2,sam_energy,19,249,0.8026520199099012
nsgaiii,dtlz2,sam_redd,0,249,0.7954277436154542
nsgaiii,dtlz2,sam_redd,1,249,0.7860310816089159
nsgaiii,dtlz2,sam_redd,2,249,0.7996224644033141
nsgaiii,dtlz2,sam_redd,3,249,0.7915581451938014
nsgaiii,dtlz2,sam_redd,4,249,0.7845631871441068
nsgaiii,dtlz2,sam_redd,5,249,0.8067941011690384
nsgaiii,dtlz2,sam_redd,6,249,0.7982270637303588
nsgaiii,dtlz2,sam_redd,7,249,0.7676445228234251
nsgaiii,dtlz2,sam_redd,8,249,0.796032702431268
nsgaiii,dtlz2,sam_redd,9,249,0.793196577938061
nsgaiii,dtlz2,sam_redd,10,249,0.7970962710999187
nsgaiii,dtlz2,sam_redd,11,249,0.7968458160444294
nsgaiii,dtlz2,sam_redd,12,249,0.8084656416630702
nsgaiii,dtlz2,sam_redd,13,249,0.7968030616761472
nsgaiii,dtlz2,sam_redd,14,249,0.8053566347437007
nsgaiii,dtlz2,sam_redd,15,249,0.8027511057040124
nsgaiii,dtlz2,sam_redd,16,249,0.8024465090520387
nsgaiii,dtlz2,sam_redd,17,249,0.8017286103162362
nsgaiii,dtlz2,sam_redd,18,249,0.7869616040576748
nsgaiii,dtlz2,sam_redd,19,249,0.8119224166340988
nsgaiii,dtlz2,sam_mssd,0,249,0.8044441789204962
nsgaiii,dtlz2,sam_mssd,1,249,0.8059926494748327
nsgaiii,dtlz2,sam_mssd,2,249,0.807050926701302
nsgaiii,dtlz2,sam_mssd,3,249,0.8108376135250579
nsgaiii,dtlz2,sam_mssd,4,249,0.8021097328535846
nsgaiii,dtlz2,sam_mssd,5,249,0.8108854245989545
nsgaiii,dtlz2,sam_mssd,6,249,0.8016063268741588
