Algorithm,Problem,Operator,Execucion,Generation,HV_gen
nsgaiii,wfg5,baseline,0,249,0.44593720492313943
nsgaiii,wfg5,baseline,1,249,0.4409856581209797
nsgaiii,wfg5,baseline,2,249,0.4482220141184769
nsgaiii,wfg5,baseline,3,249,0.44058063722302776
nsgaiii,wfg5,baseline,4,249,0.4408551250193346
nsgaiii,wfg5,baseline,5,249,0.4443176806183922
nsgaiii,wfg5,baseline,6,249,0.4472299166562162
nsgaiii,wfg5,baseline,7,249,0.43483803677783883
nsgaiii,wfg5,baseline,8,249,0.4510913792506944
nsgaiii,wfg5,baseline,9,249,0.4422717442192564
nsgaiii,wfg5,baseline,10,249,0.44040719561384095
nsgaiii,wfg5,baseline,11,249,0.4414997333421129
nsgaiii,wfg5,baseline,12,249,0.4440743565841553
nsgaiii,wfg5,baseline,13,249,0.4347054945314863
nsgaiii,wfg5,baseline,14,249,0.4473205392067292
nsgaiii,wfg5,baseline,15,249,0.43862502053607483
nsgaiii,wfg5,baseline,16,249,0.4384355886450744
nsgaiii,wfg5,baseline,17,249,0.43828351003142496
nsgaiii,wfg5,baseline,18,249,0.44768635633029374
nsgaiii,wfg5,baseline,19,249,0.43968236481888795
nsgaiii,wfg5,sam_energy,0,249,0.45387467431607453
nsgaiii,wfg5,sam_energy,1,249,0.4422711727059924
nsgaiii,wfg5,sam_energy,2,249,0.444945638572064
nsgaiii,wfg5,sam_energy,3,249,0.44062929149848495
nsgaiii,wfg5,sam_energy,4,249,0.44739933768645035
nsgaiii,wfg5,sam_energy,5,249,0.44784403107040444
nsgaiii,wfg5,sam_energy,6,249,0.43905412391773346
nsgaiii,wfg5,sam_energy,7,249,0.4404050771456757
nsgaiii,wfg5,sam_energy,8,249,0.450020352730493
nsgaiii,wfg5,sam_energy,9,249,0.4504816358077567
nsgaiii,wfg5,sam_energy,10,249,0.4454469470799455
nsgaiii,wfg5,sam_energy,11,249,0.4488044223772771
nsgaiii,wfg5,sam_energy,12,249,0.4335808456171544
nsgaiii,wfg5,sam_energy,13,249,0.44708029421552015
nsgaiii,wfg5,sam_energy,14,249,0.4475510688341552
nsgaiii,wfg5,sam_energy,15,249,0.4394838202944704
nsgaiii,wfg5,sam_energy,16,249,0.4381234344318674
nsgaiii,wfg5,sam_energy,17,249,0.44551740165039555
nsgaiii,wfg5,sam_energy,18,249,0.44307925897401573
nsgaiii,wfg5,sam_energy,19,249,0.4485452666271704
nsgaiii,wfg5,sam_redd,0,249,0.4346746920214782
nsgaiii,wfg5,sam_redd,1,249,0.4357381186252357
nsgaiii,wfg5,sam_redd,2,249,0.44541931526197365
nsgaiii,wfg5,sam_redd,3,249,0.4480060086315336
nsgaiii,wfg5,sam_redd,4,249,0.4370826463535017
nsgaiii,wfg5,sam_redd,5,249,0.4385439248488271
nsgaiii,wfg5,sam_redd,6,249,0.43539189751828694
nsgaiii,wfg5,sam_redd,7,249,0.4427417502827625
nsgaiii,wfg5,sam_redd,8,249,0.4428362108717238
nsgaiii,wfg5,sam_redd,9,249,0.4579864123826429
nsgaiii,wfg5,sam_redd,10,249,0.44315408970470904
nsgaiii,wfg5,sam_redd,11,249,0.4443602452725568
nsgaiii,wfg5,sam_redd,12,249,0.4311500093402826
nsgaiii,wfg5,sam_redd,13,249,0.44454379737225547
nsgaiii,wfg5,sam_redd,14,249,0.4395405473748712
nsgaiii,wfg5,sam_redd,15,249,0.4506179694580338
nsgaiii,wfg5,sam_redd,16,249,0.4438019554573824
nsgaiii,wfg5,sam_redd,17,249,0.4438572876518613
nsgaiii,wfg5,sam_redd,18,249,0.4421842181039526
nsgaiii,wfg5,sam_redd,19,249,0.4492566397704925
nsgaiii,wfg5,sam_mssd,0,249,0.4469516674534507
nsgaiii,wfg5,sam_mssd,1,249,0.451549627437069
nsgaiii,wfg5,sam_mssd,2,249,0.4375572178356475
nsgaiii,wfg5,sam_mssd,3,249,0.4445248231545007
nsgaiii,wfg5,sam_mssd,4,249,0.436008754356404
nsgaiii,wfg5,sam_mssd,5,249,0.4486762659987752
nsgaiii,wfg5,sam_mssd,6,249,0.4504872753762916
nsgaiii,wfg5,sam_mssd,7,249,0.4390461018811811
nsgaiii,wfg5,sam_mssd,8,249,0.44641009960352124
nsgaiii,wfg5,sam_mssd,9,249,0.44772718505705295
nsgaiii,wfg5,sam_mssd,10,249,0.44137586590986877
nsgaiii,wfg5,sam_mssd,11,249,0.4466885997949226
nsgaiii,wfg5,sam_mssd,12,249,0.4507631259153472
nsgaiii,wfg5,sam_mssd,13,249,0.44905010207616414
nsgaiii,wfg5,sam_mssd,14,249,0.44056195108308593
nsgaiii,wfg5,sam_mssd,15,249,0.4490025788851353
nsgaiii,wfg5,sam_mssd,16,249,0.4408723065356524
nsgaiii,wfg5,sam_mssd,17,249,0.4449374888648802
nsgaiii,wfg5,sam_mssd,18,249,0.4420152239299823
nsgaiii,wfg5,sam_mssd,19,249,0.4401902969077974
nsgaiii,wfg5,sam_uniform,0,249,0.43798000813608323
nsgaiii,wfg5,sam_uniform,1,249,0.43668121807203086
nsgaiii,wfg5,sam_uniform,2,249,0.4464484950404809
nsgaiii,wfg5,sam_uniform,3,249,0.4463206627308245
nsgaiii,wfg5,sam_uniform,4,249,0.4465145775062647
nsgaiii,wfg5,sam_uniform,5,249,0.44613473669360676
nsgaiii,wfg5,sam_uniform,6,249,0.4347541467653907
nsgaiii,wfg5,sam_uniform,7,249,0.44366471545839725
nsgaiii,wfg5,sam_uniform,8,249,0.43593474218125067
nsgaiii,wfg5,sam_uniform,9,249,0.4482182125412812
nsgaiii,wfg5,sam_uniform,10,249,0.4450860143113202
nsgaiii,wfg5,sam_uniform,11,249,0.4461839067386187
nsgaiii,wfg5,sam_uniform,12,249,0.43976840184610555
nsgaiii,wfg5,sam_uniform,13,249,0.4304066270165681
nsgaiii,wfg5,sam_uniform,14,249,0.4374772897319511
nsgaiii,wfg5,sam_uniform,15,249,0.44086808880954304
nsgaiii,wfg5,sam_uniform,16,249,0.4422360710754263
nsgaiii,wfg5,sam_uniform,17,249,0.4498038329435924
nsgaiii,wfg5,sam_uniform,18,249,0.44074803698522463
nsgaiii,wfg5,sam_uniform,19,249,0.44370640083035984
nsgaiii,wfg5,mut_dirichlet,0,249,0.44664419600754685
nsgaiii,wfg5,mut_dirichlet,1,249,0.45232034991993597
nsgaiii,wfg5,mut_dirichlet,2,249,0.44912175056041576
nsgaiii,wfg5,mut_dirichlet,3,249,0.44964896526996184
nsgaiii,wfg5,mut_dirichlet,4,249,0.450019177222953
nsgaiii,wfg5,mut_dirichlet,5,249,0.4429018317859624
nsgaiii,wfg5,mut_dirichlet,6,249,0.4469485955976285
nsgaiii,wfg5,mut_dirichlet,7,249,0.4471618536940083
nsgaiii,wfg5,mut_dirichlet,8,249,0.44308456315663697
nsgaiii,wfg5,mut_dirichlet,9,249,0.45005870317566465
nsgaiii,wfg5,mut_dirichlet,10,249,0.450901333448193
nsgaiii,wfg5,mut_dirichlet,11,249,0.441713987347515
nsgaiii,wfg5,mut_dirichlet,12,249,0.450428423664495
nsgaiii,wfg5,mut_dirichlet,13,249,0.44139065200830074
nsgaiii,wfg5,mut_dirichlet,14,249,0.4511586926598572
nsgaiii,wfg5,mut_dirichlet,15,249,0.44708170530788843
nsgaiii,wfg5,mut_dirichlet,16,249,0.44676371311852575
nsgaiii,wfg5,mut_dirichlet,17,249,0.44612644220854764
nsgaiii,wfg5,mut_dirichlet,18,249,0.451887939683975
nsgaiii,wfg5,mut_dirichlet,19,249,0.4441354570255905
nsgaiii,wfg5,mut_lognormal,0,249,0.4206285807801426
nsgaiii,wfg5,mut_lognormal,1,249,0.43221942277191283
nsgaiii,wfg5,mut_lognormal,2,249,0.43994690718033574
nsgaiii,wfg5,mut_lognormal,3,249,0.4342018884508497
nsgaiii,wfg5,mut_lognormal,4,249,0.4289363463336145
nsgaiii,wfg5,mut_lognormal,5,249,0.4398784327124967
nsgaiii,wfg5,mut_lognormal,6,249,0.43264153433585756
nsgaiii,wfg5,mut_lognormal,7,249,0.4433084779784411
nsgaiii,wfg5,mut_lognormal,8,249,0.43347905819927507
nsgaiii,wfg5,mut_lognormal,9,249,0.427191474504
nsgaiii,wfg5,mut_lognormal,10,249,0.440692987216792
nsgaiii,wfg5,mut_lognormal,11,249,0.4432193088698547
nsgaiii,wfg5,mut_lognormal,12,249,0.4363748288106888
nsgaiii,wfg5,mut_lognormal,13,249,0.43058994241310516
nsgaiii,wfg5,mut_lognormal,14,249,0.43631447166967796
nsgaiii,wfg5,mut_lognormal,15,249,0.4381537317409167
nsgaiii,wfg5,mut_lognormal,16,249,0.42607007665734803
nsgaiii,wfg5,mut_lognormal,17,249,0.427971991494918
nsgaiii,wfg5,mut_lognormal,18,249,0.42912154803636765
nsgaiii,wfg5,mut_lognormal,19,249,0.43797903255178217
nsgaiii,wfg5,mut_exponential,0,249,0.44689691081541366
nsgaiii,wfg5,mut_exponential,1,249,0.4494808774591217
nsgaiii,wfg5,mut_exponential,2,249,0.4434040854908659
nsgaiii,wfg5,mut_exponential,3,249,0.450724692156115
nsgaiii,wfg5,mut_exponential,4,249,0.44783003757298095
nsgaiii,wfg5,mut_exponential,5,249,0.44375172921894634
nsgaiii,wfg5,mut_exponential,6,249,0.43751027526813535
nsgaiii,wfg5,mut_exponential,7,249,0.35708847568248947
nsgaiii,wfg5,mut_exponential,8,249,0.4312749459572405
nsgaiii,wfg5,mut_exponential,9,249,0.4479575773982663
nsgaiii,wfg5,mut_exponential,10,249,0.44613577677695176
nsgaiii,wfg5,mut_exponential,11,249,0.43549628852041594
nsgaiii,wfg5,mut_exponential,12,249,0.44346152424110646
nsgaiii,wfg5,mut_exponential,13,249,0.440915351796585
nsgaiii,wfg5,mut_exponential,14,249,0.4439752244425898
nsgaiii,wfg5,mut_exponential,15,249,0.4461038599600842
nsgaiii,wfg5,mut_exponential,16,249,0.4401098802063633
nsgaiii,wfg5,mut_exponential,17,249,0.4442913338992386
nsgaiii,wfg5,mut_exponential,18,249,0.4513333592622568
nsgaiii,wfg5,mut_exponential,19,249,0.4318184760142268
nsgaiii,wfg5,mut_normal,0,249,0.42713456044742454
nsgaiii,wfg5,mut_normal,1,249,0.42933744511271743
nsgaiii,wfg5,mut_normal,2,249,0.4304406668440135
nsgaiii,wfg5,mut_normal,3,249,0.43737615579778305
nsgaiii,wfg5,mut_normal,4,249,0.419627488219905
nsgaiii,wfg5,mut_normal,5,249,0.4281705881543773
nsgaiii,wfg5,mut_normal,6,249,0.42690956306421995
nsgaiii,wfg5,mut_normal,7,249,0.4308467447752737
nsgaiii,wfg5,mut_normal,8,249,0.42225685689263237
nsgaiii,wfg5,mut_normal,9,249,0.43678741251448044
nsgaiii,wfg5,mut_normal,10,249,0.4314444908800916
nsgaiii,wfg5,mut_normal,11,249,0.4302034715234559
nsgaiii,wfg5,mut_normal,12,249,0.4230156378159543
nsgaiii,wfg5,mut_normal,13,249,0.4435918781980963
nsgaiii,wfg5,mut_normal,14,249,0.4333349839419877
nsgaiii,wfg5,mut_normal,15,249,0.43659917458689035
nsgaiii,wfg5,mut_normal,16,249,0.4342424917255734
nsgaiii,wfg5,mut_normal,17,249,0.4324201659737701
nsgaiii,wfg5,mut_normal,18,249,0.43876994587330836
nsgaiii,wfg5,mut_normal,19,249,0.43770451931300514
